timestamp,cpu_percent,ram_percent,cpu_temp,gpu_temp,cpu_limit,cpu_temp_limit,gpu_temp_limit,alert_main
2025-11-28 14:17:53,93.0,82.1,,,100.0,80.0,75.0,0
2025-11-28 14:17:54,99.3,82.9,,,100.0,80.0,75.0,0
2025-11-28 14:17:55,98.1,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:17:57,70.5,82.0,,,100.0,80.0,75.0,0
2025-11-28 14:17:58,91.5,81.5,,,100.0,80.0,75.0,0
2025-11-28 14:17:59,97.0,81.5,,,100.0,80.0,75.0,0
2025-11-28 14:18:00,91.6,81.3,,,100.0,80.0,75.0,0
2025-11-28 14:18:01,79.1,81.3,,,100.0,80.0,75.0,0
2025-11-28 14:18:02,48.1,80.7,,,100.0,80.0,75.0,0
2025-11-28 14:18:03,24.5,80.8,,,100.0,80.0,75.0,0
2025-11-28 14:18:04,35.7,80.9,,,100.0,80.0,75.0,0
2025-11-28 14:18:05,25.7,80.9,,,100.0,80.0,75.0,0
2025-11-28 14:18:06,25.4,80.8,,,100.0,80.0,75.0,0
2025-11-28 14:18:07,76.2,82.1,,,100.0,80.0,75.0,0
2025-11-28 14:18:08,73.3,81.8,,,100.0,80.0,75.0,0
2025-11-28 14:18:09,28.7,81.8,,,100.0,80.0,75.0,0
2025-11-28 14:18:10,27.9,82.1,,,100.0,80.0,75.0,0
2025-11-28 14:18:11,26.6,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:18:12,27.7,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:18:13,46.7,81.5,,,100.0,80.0,75.0,0
2025-11-28 14:18:14,45.4,81.0,,,100.0,80.0,75.0,0
2025-11-28 14:18:15,55.4,80.8,,,100.0,80.0,75.0,0
2025-11-28 14:18:16,25.7,80.7,,,100.0,80.0,75.0,0
2025-11-28 14:18:18,14.0,80.6,,,100.0,80.0,75.0,0
2025-11-28 14:18:19,24.7,80.7,,,100.0,80.0,75.0,0
2025-11-28 14:18:20,62.1,80.6,,,100.0,80.0,75.0,0
2025-11-28 14:18:21,44.3,80.7,,,100.0,80.0,75.0,0
2025-11-28 14:18:22,68.4,80.6,,,100.0,80.0,75.0,0
2025-11-28 14:18:23,83.1,80.5,,,100.0,80.0,75.0,0
2025-11-28 14:18:24,59.5,80.6,,,100.0,80.0,75.0,0
2025-11-28 14:18:25,63.1,81.1,,,100.0,80.0,75.0,0
2025-11-28 14:18:26,55.5,81.2,,,100.0,80.0,75.0,0
2025-11-28 14:18:27,66.3,81.3,,,100.0,80.0,75.0,0
2025-11-28 14:18:28,57.4,81.4,,,100.0,80.0,75.0,0
2025-11-28 14:18:29,59.2,81.3,,,100.0,80.0,75.0,0
2025-11-28 14:18:30,67.5,81.4,,,100.0,80.0,75.0,0
2025-11-28 14:18:31,67.6,81.3,,,100.0,80.0,75.0,0
2025-11-28 14:18:32,68.7,81.6,,,100.0,80.0,75.0,0
2025-11-28 14:18:33,69.6,81.8,,,100.0,80.0,75.0,0
2025-11-28 14:18:34,64.1,82.0,,,100.0,80.0,75.0,0
2025-11-28 14:18:35,37.2,82.3,,,100.0,80.0,75.0,0
2025-11-28 14:18:36,55.6,83.3,,,100.0,80.0,75.0,0
2025-11-28 14:18:37,50.4,83.8,,,100.0,80.0,75.0,0
2025-11-28 14:18:38,51.1,84.2,,,100.0,80.0,75.0,0
2025-11-28 14:18:39,61.5,84.4,,,100.0,80.0,75.0,0
2025-11-28 14:18:41,56.8,84.9,,,100.0,80.0,75.0,0
2025-11-28 14:18:42,39.0,85.3,,,100.0,80.0,75.0,0
2025-11-28 14:18:43,28.6,85.2,,,100.0,80.0,75.0,0
2025-11-28 14:18:44,34.8,85.2,,,100.0,80.0,75.0,0
2025-11-28 14:18:45,21.5,85.2,,,100.0,80.0,75.0,0
2025-11-28 14:18:46,49.3,85.4,,,100.0,80.0,75.0,0
2025-11-28 14:18:47,56.3,85.4,,,100.0,80.0,75.0,0
2025-11-28 14:18:48,49.8,85.1,,,100.0,80.0,75.0,0
2025-11-28 14:18:49,52.6,85.2,,,100.0,80.0,75.0,0
2025-11-28 14:18:50,62.4,85.3,,,100.0,80.0,75.0,0
2025-11-28 14:18:51,50.2,86.1,,,100.0,80.0,75.0,0
2025-11-28 14:18:52,62.6,86.2,,,100.0,80.0,75.0,0
2025-11-28 14:18:53,81.2,86.3,,,100.0,80.0,75.0,0
2025-11-28 14:18:54,38.3,86.1,,,100.0,80.0,75.0,0
2025-11-28 14:18:55,44.3,86.0,,,100.0,80.0,75.0,0
2025-11-28 14:18:56,61.1,86.3,,,100.0,80.0,75.0,0
2025-11-28 14:18:57,54.3,86.5,,,100.0,80.0,75.0,0
2025-11-28 14:18:58,65.7,86.8,,,100.0,80.0,75.0,0
2025-11-28 14:18:59,70.3,86.8,,,100.0,80.0,75.0,0
2025-11-28 14:19:00,82.5,86.5,,,100.0,80.0,75.0,0
2025-11-28 14:19:01,67.2,86.7,,,100.0,80.0,75.0,0
2025-11-28 14:19:02,68.0,87.1,,,100.0,80.0,75.0,0
2025-11-28 14:19:03,62.5,87.8,,,100.0,80.0,75.0,0
2025-11-28 14:19:04,49.5,87.8,,,100.0,80.0,75.0,0
2025-11-28 14:19:05,48.9,87.5,,,100.0,80.0,75.0,0
2025-11-28 14:19:07,57.6,87.2,,,100.0,80.0,75.0,0
2025-11-28 14:19:08,49.6,87.3,,,100.0,80.0,75.0,0
2025-11-28 14:19:09,48.9,87.5,,,100.0,80.0,75.0,0
2025-11-28 14:19:10,57.4,87.5,,,100.0,80.0,75.0,0
2025-11-28 14:19:11,50.5,87.6,,,100.0,80.0,75.0,0
2025-11-28 14:19:12,47.6,87.7,,,100.0,80.0,75.0,0
